year,s0,s1,s2,s3,s4,s5,s6
2016,34,36,37,39,35,33,32
2017,35,36,39,43,35,32,28
2018,35,36,41,47,34,30,26
2019,35,37,43,52,34,29,23
2020,36,37,45,57,34,27,21
2021,36,37,47,63,33,26,19
2022,37,38,50,69,33,24,17
2023,37,38,52,76,32,23,15
2024,38,39,55,84,32,22,13
2025,38,39,58,92,32,21,12
2026,38,39,61,102,32,20,11
2027,39,40,64,112,31,19,10
2028,39,40,67,123,31,18,9
2029,40,41,70,135,31,17,8
2030,40,41,74,149,30,16,7
2031,41,41,78,164,30,15,6
2032,41,42,81,180,30,14,5
2033,42,42,86,198,29,14,5
2034,42,43,90,218,29,13,4
2035,42,43,94,240,29,12,4
2036,43,44,99,264,28,12,3
2037,43,44,104,291,28,11,3
2038,44,44,109,320,28,10,3
2039,44,45,115,352,28,10,2
2040,45,45,121,387,27,9,2
2041,45,46,127,426,27,9,2
2042,45,46,133,468,27,8,2
2043,46,47,140,515,26,8,1
2044,46,47,147,567,26,8,1
2045,47,48,154,623,26,7,1
2046,47,48,162,686,26,7,1
2047,48,49,170,754,25,6,1
2048,48,49,178,830,25,6,1
2049,49,50,187,913,25,6,0
2050,49,50,197,1004,25,5,0
2051,49,51,207,1105,24,5,0
2052,50,51,217,1215,24,5,0
2053,50,52,228,1337,24,5,0
2054,51,52,239,1471,24,4,0
2055,51,53,251,1618,23,4,0
2056,52,53,264,1779,23,4,0
2057,52,54,277,1957,23,4,0
2058,53,54,291,2153,23,3,0
2059,53,55,305,2369,22,3,0
2060,53,55,321,2606,22,3,0
2061,54,56,337,2866,22,3,0
2062,54,57,354,3153,22,3,0
2063,55,57,371,3468,22,3,0
2064,55,58,390,3815,21,2,0
2065,56,58,409,4197,21,2,0
2066,56,59,430,4616,21,2,0
2067,56,59,452,5078,21,2,0
2068,57,60,474,5586,20,2,0
2069,57,61,498,6144,20,2,0
2070,58,61,523,6759,20,2,0
2071,58,62,549,7435,20,2,0
2072,59,63,576,8178,20,1,0
2073,59,63,605,8996,19,1,0
2074,60,64,636,9896,19,1,0
2075,60,64,667,10886,19,1,0
2076,60,65,701,11974,19,1,0
2077,61,66,736,13172,19,1,0
2078,61,66,773,14489,18,1,0
2079,62,67,811,15938,18,1,0
2080,62,68,852,17532,18,1,0
2081,63,68,894,19285,18,1,0
2082,63,69,939,21214,18,1,0
2083,63,70,986,23335,18,1,0
2084,64,71,1036,25669,17,1,0
2085,64,71,1087,28236,17,0,0
2086,65,72,1142,31059,17,0,0
2087,65,73,1199,34165,17,0,0
2088,66,73,1259,37582,17,0,0
2089,66,74,1322,41340,16,0,0
2090,67,75,1388,45474,16,0,0
2091,67,76,1457,50021,16,0,0
2092,67,76,1530,55024,16,0,0
2093,68,77,1607,60526,16,0,0
2094,68,78,1687,66579,16,0,0
2095,69,79,1771,73237,16,0,0
2096,69,80,1860,80560,15,0,0
2097,70,80,1953,88616,15,0,0
2098,70,81,2051,97478,15,0,0
2099,71,82,2153,107226,15,0,0
