year, sea_level_cm,co2_gt,co2_ppm
1971,9.92,15.68,326.32
1972,10.14,16.46,327.45
1973,10.52,17.44,329.67
1974,10.61,17.4,330.2
1975,10.79,17.35,331.12
1976,10.83,18.33,332.04
1977,10.34,18.87,333.83
1978,11.66,19.48,335.4
1979,10.41,20.03,336.84
1980,11.58,19.8,338.75
1981,12.7,19.44,340.11
1982,12.52,19.18,341.45
1983,12.32,19.3,343.05
1984,13.05,19.9,344.66
1985,11.68,20.18,346.12
1986,11.81,20.53,347.43
1987,11.91,21.2,349.18
1988,12.21,21.95,351.57
1989,13.1,22.34,353.12
1990,13.37,22.45,354.4
1991,13.37,22.59,355.61
1992,13.02,22.49,356.45
1993,13.69,22.66,357.1
1994,13.77,22.9,358.83
1995,13.9,23.62,360.82
1996,14.37,24.08,362.61
1997,14.28,24.4,363.73
1998,14.35,24.54,366.7
1999,14.69,24.73,368.38
2000,14.89,25.59,369.55
2001,15.86,25.88,371.14
2002,15.84,26.35,373.28
2003,16.21,27.51,375.8
2004,16.37,28.73,377.52
2005,17.26,29.77,379.8
2006,17.3,30.76,381.9
2007,17.31,31.92,383.79
2008,17.38,32.12,385.6
2009,17.78,31.77,387.43
2010,18.48,33.59,389.9
2011,17.62,34.58,391.65
2012,18.66,34.79,393.85
2013,19.4,35.42,396.52
2014,19.75,35.69,398.64
2015,21.02,35.63,400.83
2016,20.64,35.75,404.23
2017,20.94,37.1,406.56
2018,21.36,37.1,408.52
