Year	Fossil CO2 Emissions (tons)	CO2 emisions change	CO2 emissions per capita	Population	Pop.change
2016	35,753,305,000	0.34%	4.79	7,464,022,049	1.14 %
2015	35,631,078,000	-0.16%	4.83	7,379,797,139	1.16 %
2014	35,686,780,000	0.76%	4.89	7,295,290,765	1.17 %
2013	35,416,599,000	1.80%	4.91	7,210,581,976	1.19 %
2012	34,790,564,000	0.61%	4.88	7,125,828,059	1.20 %
2011	34,578,390,000	2.95%	4.91	7,041,194,301	1.21 %
2010	33,587,787,000	5.72%	4.83	6,956,823,603	1.22 %
2009	31,770,516,000	-1.10%	4.62	6,872,767,093	1.23 %
2008	32,124,428,000	0.65%	4.73	6,789,088,686	1.24 %
2007	31,916,504,000	3.77%	4.76	6,705,946,610	1.24 %
2006	30,756,174,000	3.32%	4.64	6,623,517,833	1.25 %
2005	29,769,008,000	3.62%	4.55	6,541,907,027	1.25 %
2004	28,729,309,000	4.42%	4.45	6,461,159,389	1.25 %
2003	27,513,926,000	4.42%	4.31	6,381,185,114	1.26 %
2002	26,350,081,000	1.82%	4.18	6,301,773,188	1.27 %
2001	25,877,903,000	1.11%	4.16	6,222,626,606	1.29 %
2000	25,593,733,000	3.48%	4.17	6,143,493,823	1.31 %
1999	24,733,708,000	0.78%	4.08	6,064,239,055	1.33 %
1998	24,541,647,000	0.59%	4.10	5,984,793,942	1.35 %
1997	24,398,282,000	1.34%	4.13	5,905,045,788	1.38 %
1996	24,075,938,000	1.93%	4.13	5,824,891,951	1.40 %
1995	23,619,144,000	3.15%	4.11	5,744,212,979	1.43 %
1994	22,898,963,000	1.04%	4.04	5,663,150,427	1.46 %
1993	22,664,346,000	0.78%	4.06	5,581,597,546	1.50 %
1992	22,488,598,000	-0.45%	4.09	5,498,919,809	1.56 %
1991	22,591,041,000	0.63%	4.17	5,414,289,444	1.63 %
1990	22,450,442,000	0.49%	4.21	5,327,231,061	1.71 %
1989	22,341,747,000	1.80%	4.27	5,237,441,558	1.79 %
1988	21,945,689,000	3.54%	4.27	5,145,426,008	1.84 %
1987	21,195,418,000	3.24%	4.20	5,052,522,147	1.85 %
1986	20,530,265,000	1.75%	4.14	4,960,567,912	1.84 %
1985	20,176,693,000	1.37%	4.14	4,870,921,740	1.82 %
1984	19,904,653,000	3.12%	4.16	4,784,011,621	1.80 %
1983	19,301,703,000	0.61%	4.11	4,699,569,304	1.78 %
1982	19,184,207,000	-1.31%	4.15	4,617,386,542	1.77 %
1981	19,439,731,000	-1.84%	4.28	4,536,996,762	1.77 %
1980	19,803,842,000	-1.14%	4.44	4,458,003,514	1.77 %
1979	20,031,918,000	2.85%	4.57	4,380,506,100	1.76 %
1978	19,477,371,000	3.20%	4.52	4,304,533,501	1.77 %
1977	18,874,320,000	2.98%	4.46	4,229,506,060	1.80 %
1976	18,329,016,000	5.66%	4.41	4,154,666,864	1.84 %
1975	17,346,512,000	-0.29%	4.25	4,079,480,606	1.89 %
1974	17,396,363,000	-0.26%	4.34	4,003,794,172	1.94 %
1973	17,441,791,000	5.93%	4.44	3,927,780,238	1.98 %
1972	16,464,900,000	5.01%	4.27	3,851,650,245	2.01 %
1971	15,679,743,000	-0.50%	4.15	3,775,759,617	2.04 %
